Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia|
332.jpg|Abolladura|Puerta delantera izquierda|Reparar|
332.jpg|Abolladura|Marco de las puertas|Reparar|
333.jpg|Abolladura|Parachoques trasero|Reparar|
333.jpg|Abolladura|Maletero|Reparar|
334.jpg|Rotura|Faros derecho|Reemplazar|
334.jpg|Abolladura|Parachoques delantero|Reparar|
335.jpg|Rayón|Parachoques trasero|Reparar|
336.jpg|Rotura|Parachoques trasero|Reemplazar|
337.jpg|Rotura|Parabrisas trasero|Reemplazar|
338.jpg|Deformación|Puerta delantera derecha|Reparar|
338.jpg|Abolladura|Marco de las puertas|Reparar|
339.jpg|Deformación|Parachoques trasero|Reemplazar|
339.jpg|Rotura|Luz trasera derecho|Reemplazar|
339.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
340.jpg|Rotura|Luz trasera derecho|Reemplazar|
341.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
342.jpg|Rotura|Rueda |Reparar|
343.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
344.jpg|Rayón|Parachoques delantero|Reparar|
345.jpg|Abolladura|Puerta trasera izquierda|Reparar|
345.jpg|Abolladura|Marco de las puertas|Reparar|
346.jpg|Rotura|Guardabarros delantero izquierdo |Reemplazar|
346.jpg|Abolladura|Parachoques delantero|Reparar|
347.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
348.jpg|Abolladura|Guardabarros delantero izquierdo |Reemplazar|
349.jpg|Abolladura|Parachoques trasero|Reparar|
350.jpg|Rayón|Puerta delantera derecha|Reparar|
350.jpg|Rayón|Marco de las puertas|Reparar|
351.jpg|Rayón|Parachoques trasero|Reparar|
352.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
353.jpg|Rotura|Parabrisas delantero|Reemplazar|
354.jpg|Rayón|Parachoques delantero|Reparar|
355.jpg|Abolladura|Puerta delantera derecha|Reparar|
355.jpg|Abolladura|Puerta trasera derecha|Reparar|
356.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
357.jpg|Deformación|Puerta delantera izquierda|Reemplazar|
358.jpg|Abolladura|Parachoques trasero|Reparar|
358.jpg|Rotura|Luz indicadora trasera izquierda|Reemplazar|
359.jpg|Rayón|Parachoques delantero|Reparar|
360.jpg|Rayón|Parachoques trasero|Reparar|
361.jpg|Rayón|Parachoques delantero|Reparar|
362.jpg|Rayón|Parachoques trasero|Reparar|
363.jpg|Deformación|Parachoques delantero|Reemplazar|
363.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
363.jpg|Desprendimiento|Rueda |Reemplazar|
364.jpg|Rayón|Parachoques delantero|Reparar|
365.jpg|Rayón|Parachoques trasero|Reparar|
366.jpg|Deformación|Puerta delantera derecha|Reemplazar|
366.jpg|Abolladura|Puerta trasera derecha|Reparar|
366.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
367.jpg|Abolladura|Puerta delantera izquierda|Reparar|
368.jpg|Rotura|Faros derecho|Reemplazar|
368.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
368.jpg|Abolladura|Capó |Reparar|
368.jpg|Rayón|Parachoques delantero|Reparar|
369.jpg|Abolladura|Parachoques delantero|Reparar|
369.jpg|Rotura|Faros izquierdo|Reemplazar|
369.jpg|Abolladura|Capó |Reparar|
370.jpg|Rayón|Maletero|Reparar|
370.jpg|Fractura|Parachoques trasero|Reparar|
371.jpg|Rayón|Parachoques trasero|Reparar|
372.jpg|Rotura|Rueda |Reparar|
373.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
374.jpg|Abolladura|Parachoques trasero|Reparar|
374.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
374.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
375.jpg|Rotura|Parabrisas delantero|Reemplazar|
376.jpg|Fractura|Parachoques delantero|Reparar|
376.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
377.jpg|Fractura|Parachoques trasero|Reparar|
378.jpg|Rayón|Guardabarros trasero derecho|Reparar|
378.jpg|Rayón|Puerta trasera derecha|Reparar|
379.jpg|Rotura|Faros derecho|Reemplazar|
379.jpg|Abolladura|Parachoques delantero|Reparar|
379.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
380.jpg|Abolladura|Parachoques delantero|Reparar|
380.jpg|Rotura|Faros izquierdo|Reemplazar|
380.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
380.jpg|Abolladura|Capó |Reparar|
381.jpg|Rayón|Puerta trasera derecha|Reparar|
381.jpg|Rayón|Puerta delantera derecha|Reparar|
381.jpg|Rayón|Guardabarros trasero derecho|Reparar|
382.jpg|Rotura|Rueda |Reparar|
383.jpg|Fractura|Parachoques delantero|Reparar|
384.jpg|Rotura|Parachoques delantero|Reemplazar|
385.jpg|Rotura|Parabrisas delantero|Reemplazar|
386.jpg|Rotura|Faros izquierdo|Reemplazar|
387.jpg|Abolladura|Parachoques trasero|Reparar|
388.jpg|Rotura|Luz trasera derecho|Reemplazar|
388.jpg|Rayón|Parachoques trasero|Reparar|
389.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
390.jpg|Abolladura|Capó |Reparar|
391.jpg|Fractura|Parachoques trasero|Reparar|
392.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
392.jpg|Abolladura|Puerta delantera izquierda|Reparar|
393.jpg|Rotura|Parabrisas delantero|Reemplazar|
394.jpg|Rayón|Parachoques trasero|Reparar|
394.jpg|Rotura|Manija izquierda|Reemplazar|
395.jpg|Abolladura|Parachoques delantero|Reparar|
395.jpg|Desprendimiento|Antiniebla delantero derecho|Reemplazar|
396.jpg|Deformación|Parachoques trasero|Reparar|
396.jpg|Deformación|Maletero|Reparar|
397.jpg|Rotura|Parabrisas delantero|Reemplazar|
398.jpg|Rotura|Faros izquierdo|Reemplazar|
398.jpg|Abolladura|Parachoques delantero|Reparar|
398.jpg|Abolladura|Capó |Reparar|
398.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
399.jpg|Rotura|Parabrisas delantero|Reemplazar|
400.jpg|Rotura|Parabrisas delantero|Reemplazar|
401.jpg|Rotura|Rueda |Reparar|
402.jpg|Abolladura|Parabrisas trasero|Reparar|
403.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
403.jpg|Abolladura|Puerta trasera izquierda|Reparar|
404.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
404.jpg|Abolladura|Puerta trasera izquierda|Reparar|
405.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
405.jpg|Rayón|Puerta trasera derecha|Reparar|
406.jpg|Rotura|Luz trasera derecho|Reemplazar|
406.jpg|Abolladura|Parachoques trasero|Reparar|
407.jpg|Rotura|Parachoques trasero|Reparar|
407.jpg|Abolladura|Maletero|Reparar|
408.jpg|Rotura|Rueda |Reparar|
409.jpg|Rotura|Parachoques delantero|Reparar|
409.jpg|Rotura|Faros derecho|Reemplazar|
409.jpg|Deformación|Guardabarros delantero derecho |Reemplazar|
410.jpg|Rayón|Parachoques delantero|Reparar|
410.jpg|Desprendimiento|Guardabarros delantero derecho |Reparar|
411.jpg|Rayón|Parachoques delantero|Reparar|
412.jpg|Rotura|Parabrisas delantero|Reemplazar|
413.jpg|Rotura|Parabrisas delantero|Reemplazar|
414.jpg|Abolladura|Puerta trasera izquierda|Reparar|
414.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
415.jpg|Rotura|Faros derecho|Reemplazar|
415.jpg|Rotura|Parachoques delantero|Reparar|
415.jpg|Deformación|Guardabarros delantero derecho |Reemplazar|
416.jpg|Rotura|Parabrisas delantero|Reemplazar|
417.jpg|Rotura|Parabrisas delantero|Reemplazar|
418.jpg|Rotura|Parabrisas delantero|Reemplazar|
419.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
419.jpg|Abolladura|Puerta trasera izquierda|Reparar|
419.jpg|Abolladura|Marco de las puertas|Reparar|
420.jpg|Rotura|Luz trasera derecho|Reemplazar|
420.jpg|Rayón|Parachoques trasero|Reparar|
421.jpg|Rotura|Parachoques trasero|Reparar|
422.jpg|Abolladura|Puerta trasera derecha|Reparar|
422.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
423.jpg|Fractura|Parachoques trasero|Reparar|
424.jpg|Rotura|Rueda |Reparar|
425.jpg|Rotura|Parabrisas delantero|Reemplazar|
426.jpg|Rayón|Parachoques delantero|Reparar|
426.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
427.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
428.jpg|Desprendimiento|Parachoques delantero|Reparar|
429.jpg|Rotura|Rueda |Reparar|
430.jpg|Rotura|Parabrisas delantero|Reemplazar|
431.jpg|Rayón|Puerta delantera izquierda|Reparar|
432.jpg|Deformación|Puerta trasera izquierda|Reemplazar|
432.jpg|Deformación|Guardabarros trasero izquierdo|Reparar|
433.jpg|Rotura|Ventana trasera derecha|Reemplazar|
434.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
435.jpg|Rayón|Parachoques delantero|Reparar|
436.jpg|Rotura|Parabrisas delantero|Reemplazar|
436.jpg|Abolladura|Capó |Reparar|
436.jpg|Rotura|Espejo lateral derecho|Reemplazar|
437.jpg|Deformación|Guardabarros delantero derecho |Reparar|
438.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
438.jpg|Rayón|Puerta trasera derecha|Reparar|
439.jpg|Rotura|Parabrisas delantero|Reemplazar|
440.jpg|Rotura|Parabrisas delantero|Reemplazar|
441.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
441.jpg|Abolladura|Puerta trasera derecha|Reparar|
441.jpg|Abolladura|Puerta delantera derecha|Reparar|
441.jpg|Abolladura|Marco de las puertas|Reparar|
442.jpg|Desprendimiento|Parachoques delantero|Reparar|
442.jpg|Rotura|Faros derecho|Reemplazar|
442.jpg|Abolladura|Capó |Reparar|
443.jpg|Rotura|Rueda |Reparar|
443.jpg|Rayón|Parachoques delantero|Reparar|
444.jpg|Rayón|Parachoques delantero|Reparar|
445.jpg|Rotura|Faros izquierdo|Reemplazar|
446.jpg|Abolladura|Puerta trasera derecha|Reparar|
446.jpg|Rayón|Guardabarros trasero derecho|Reparar|
447.jpg|Rotura|Ventana trasera izquierda|Reemplazar|
448.jpg|Rayón|Parachoques delantero|Reparar|
449.jpg|Rotura|Ventana trasera derecha|Reparar|
450.jpg|Abolladura|Puerta delantera derecha|Reparar|
450.jpg|Abolladura|Puerta trasera derecha|Reparar|
451.jpg|Rotura|Parabrisas delantero|Reemplazar|
452.jpg|Rayón|Parachoques delantero|Reparar|
453.jpg|Rayón|Parachoques delantero|Reparar|
454.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
454.jpg|Rotura|Faros izquierdo|Reemplazar|
454.jpg|Abolladura|Capó |Reparar|
455.jpg|Rotura|Parabrisas delantero|Reemplazar|
456.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
456.jpg|Rayón|Puerta delantera izquierda|Reparar|
457.jpg|Rotura|Rueda |Reparar|
457.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
457.jpg|Abolladura|Puerta delantera derecha|Reparar|
458.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
458.jpg|Abolladura|Puerta trasera izquierda|Reparar|
458.jpg|Abolladura|Marco de las puertas|Reparar|
459.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
459.jpg|Abolladura|Puerta trasera izquierda|Reparar|
460.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
460.jpg|Deformación|Puerta delantera derecha|Reemplazar|
460.jpg|Rotura|Faros derecho|Reemplazar|
461.jpg|Rotura|Faros izquierdo|Reemplazar|
461.jpg|Abolladura|Parachoques delantero|Reparar|
461.jpg|Rotura|Rejilla, parrilla|Reemplazar|
461.jpg|Abolladura|Capó |Reparar|
462.jpg|Rotura|Faros derecho|Reemplazar|
463.jpg|Abolladura|Parachoques trasero|Reparar|
464.jpg|Rotura|Parabrisas delantero|Reemplazar|
465.jpg|Rotura|Parabrisas delantero|Reemplazar|
466.jpg|Abolladura|Parachoques trasero|Reparar|
467.jpg|Rayón|Parachoques delantero|Reparar|
468.jpg|Rotura|Rueda |Reparar|
469.jpg|Rotura|Parabrisas delantero|Reemplazar|
470.jpg|Abolladura|Puerta delantera derecha|Reparar|
471.jpg|Rayón|Parachoques delantero|Reparar|
472.jpg|Rotura|Parabrisas delantero|Reemplazar|
473.jpg|Abolladura|Puerta trasera derecha|Reparar|
473.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
473.jpg|Abolladura|Marco de las puertas|Reparar|
474.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
474.jpg|Rayón|Parachoques trasero|Reparar|
475.jpg|Rotura|Parabrisas delantero|Reemplazar|
476.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
476.jpg|Rayón|Parachoques trasero|Reparar|
477.jpg|Rayón|Parachoques delantero|Reparar|
478.jpg|Abolladura|Parachoques delantero|Reparar|
478.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
478.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar|
478.jpg|Rotura|Faros izquierdo|Reemplazar|
479.jpg|Rayón|Puerta trasera derecha|Reparar|
480.jpg|Rotura|Parabrisas delantero|Reemplazar|
481.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
482.jpg|Rayón|Parachoques trasero|Reparar|
483.jpg|Abolladura|Puerta delantera izquierda|Reparar|
483.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
484.jpg|Rayón|Puerta trasera izquierda|Reparar|
485.jpg|Rotura|Parabrisas delantero|Reemplazar|
486.jpg|Fractura|Parachoques delantero|Reparar|
487.jpg|Abolladura|Puerta trasera izquierda|Reparar|
487.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
488.jpg|Abolladura|Maletero|Reparar|
489.jpg|Rotura|Parabrisas trasero|Reemplazar|
490.jpg|Deformación|Maletero|Reparar|
490.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
490.jpg|Abolladura|Parachoques trasero|Reparar|
490.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
491.jpg|Rotura|Luz trasera derecho|Reemplazar|
492.jpg|Abolladura|Puerta delantera derecha|Reparar|
492.jpg|Deformación|Guardabarros delantero derecho |Reparar|
493.jpg|Fractura|Parachoques delantero|Reparar|
494.jpg|Abolladura|Parachoques trasero|Reparar|
495.jpg|Rayón|Parachoques trasero|Reparar|
496.jpg|Rayón|Parachoques delantero|Reparar|
497.jpg|Rayón|Parachoques trasero|Reparar|
498.jpg|Rayón|Parachoques trasero|Reparar|
499.jpg|Abolladura|Parachoques trasero|Reparar|
500.jpg|Rotura|Luz trasera izquierdo|Reparar|
501.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
501.jpg|Rotura|Luz indicadora delantera derecha|Reemplazar|
501.jpg|Abolladura|Faros derecho|Reemplazar|
501.jpg|Rayón|Parachoques delantero|Reparar|
501.jpg|Abolladura|Capó |Reparar|
502.jpg|Rayón|Parachoques trasero|Reparar|
503.jpg|Rotura|Faros izquierdo|Reemplazar|
504.jpg|Rotura|Faros derecho|Reemplazar|
505.jpg|Rotura|Parabrisas delantero|Reemplazar|
506.jpg|Desprendimiento|Parachoques trasero|Reparar|
506.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
507.jpg|Rotura|Faros derecho|Reemplazar|
508.jpg|Rotura|Faros izquierdo|Reemplazar|
508.jpg|Abolladura|Parachoques delantero|Reparar|
508.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
508.jpg|Abolladura|Capó |Reparar|
509.jpg|Rotura|Parabrisas delantero|Reemplazar|
510.jpg|Abolladura|Capó |Reparar|
510.jpg|Rotura|Rejilla, parrilla|Reemplazar|
511.jpg|Rotura|Ventanilla trasera derecha      |Reemplazar|
511.jpg|Rotura|Rueda |Reemplazar|
512.jpg|Rotura|Rueda |Reparar|
513.jpg|Abolladura|Capó |Reparar|
514.jpg|Abolladura|Parachoques trasero|Reparar|
515.jpg|Rotura|Faros derecho|Reemplazar|
515.jpg|Fractura|Parachoques delantero|Reparar|
515.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
515.jpg|Abolladura|Capó |Reparar|
516.jpg|Rotura|Parabrisas delantero|Reemplazar|
517.jpg|Rayón|Puerta trasera izquierda|Reparar|
517.jpg|Rayón|Puerta delantera izquierda|Reparar|
517.jpg|Rayón|Marco de las puertas|Reparar|
518.jpg|Rayón|Parachoques trasero|Reparar|
519.jpg|Rayón|Parachoques delantero|Reparar|
520.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
520.jpg|Fractura|Guardabarros trasero izquierdo|Reparar|
521.jpg|Rotura|Rueda |Reparar|
522.jpg|Rayón|Parachoques delantero|Reparar|
522.jpg|Desprendimiento|Parachoques delantero|Reparar|
522.jpg|Rotura|Rueda |Reparar|
523.jpg|Rayón|Puerta delantera izquierda|Reparar|
523.jpg|Abolladura|Marco de las puertas|Reparar|
524.jpg|Rotura|Rueda |Reparar|
525.jpg|Rayón|Parachoques delantero|Reparar|
526.jpg|Rotura|Puerta trasera derecha|Reemplazar|
526.jpg|Rayón|Marco de las puertas|Reparar|
526.jpg|Rotura|Puerta delantera derecha|Reparar|
527.jpg|Abolladura|Parachoques trasero|Reparar|
527.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
528.jpg|Abolladura|Parachoques delantero|Reparar|
528.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
528.jpg|Rotura|Faros izquierdo|Reemplazar|
529.jpg|Abolladura|Puerta delantera izquierda|Reparar|
529.jpg|Deformación|Marco de las puertas|Reparar|
529.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
530.jpg|Abolladura|Puerta trasera izquierda|Reparar|
530.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
531.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
532.jpg|Abolladura|Parachoques delantero|Reparar|
533.jpg|Rotura|Faros izquierdo|Reemplazar|
533.jpg|Rotura|Parachoques delantero|Reemplazar|
533.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
533.jpg|Abolladura|Capó |Reparar|
534.jpg|Rayón|Parachoques delantero|Reparar|
534.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
535.jpg|Rayón|Parachoques delantero|Reparar|
536.jpg|Rotura|Guardabarros delantero derecho |Reemplazar|
536.jpg|Rotura|Faros derecho|Reemplazar|
536.jpg|Rotura|Parachoques delantero|Reparar|
537.jpg|Rotura|Faros derecho|Reemplazar|
537.jpg|Rotura|Parachoques delantero|Reparar|
538.jpg|Abolladura|Parachoques delantero|Reparar|
538.jpg|Rotura|Luz indicadora delantera derecha|Reemplazar|
538.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
539.jpg|Rotura|Parabrisas delantero|Reemplazar|
540.jpg|Rayón|Parachoques delantero|Reparar|
541.jpg|Rayón|Parachoques delantero|Reparar|
542.jpg|Rotura|Luz indicadora delantera izquierda|Reemplazar|
542.jpg|Rotura|Parachoques delantero|Reparar|
543.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
544.jpg|Abolladura|Maletero|Reparar|
545.jpg|Abolladura|Parachoques delantero|Reparar|
546.jpg|Abolladura|Puerta delantera derecha|Reparar|
546.jpg|Abolladura|Puerta trasera derecha|Reparar|
546.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
546.jpg|Rotura|Rueda |Reemplazar|
547.jpg|Rayón|Parachoques delantero|Reparar|
548.jpg|Rotura|Rueda |Reparar|
549.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
550.jpg|Fractura|Parachoques trasero|Reparar|
551.jpg|Desprendimiento|Parachoques delantero|Reparar|
552.jpg|Rotura|Parabrisas delantero|Reemplazar|
552.jpg|Deformación|Capó |Reparar|
553.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
554.jpg|Rayón|Parachoques delantero|Reparar|
555.jpg|Rotura|Rueda |Reemplazar|
555.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
555.jpg|Deformación|Parachoques delantero|Reparar|
556.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
556.jpg|Rayón|Puerta trasera izquierda|Reparar|
557.jpg|Rayón|Parachoques delantero|Reparar|
558.jpg|Rotura|Rueda |Reparar|
558.jpg|Rayón|Guardabarros delantero izquierdo |Reparar|
558.jpg|Rayón|Parachoques delantero|Reparar|
558.jpg|Rayón|Puerta delantera izquierda|Reparar|
559.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
559.jpg|Rayón|Parachoques delantero|Reparar|
560.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
561.jpg|Rotura|Parabrisas delantero|Reemplazar|
561.jpg|Deformación|Capó |Reemplazar|
562.jpg|Rotura|Rueda |Reparar|
562.jpg|Rayón|Marco de las puertas|Reparar|
562.jpg|Rayón|Puerta trasera derecha|Reparar|
563.jpg|Rotura|Parabrisas delantero|Reemplazar|
564.jpg|Rotura|Parabrisas delantero|Reemplazar|
565.jpg|Rayón|Parachoques delantero|Reparar|
566.jpg|Rotura|Ventanilla trasera izquierda      |Reemplazar|
567.jpg|Rotura|Rueda |Reparar|
568.jpg|Rotura|Parabrisas delantero|Reemplazar|
569.jpg|Rayón|Parachoques trasero|Reparar|
569.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
570.jpg|Rotura|Parabrisas trasero|Reemplazar|
571.jpg|Rotura|Parabrisas delantero|Reemplazar|
571.jpg|Abolladura|Marco de las puertas|Reparar|
572.jpg|Rotura|Parachoques delantero|Reemplazar|
572.jpg|Rotura|Faros izquierdo|Reemplazar|
572.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
572.jpg|Abolladura|Capó |Reparar|
573.jpg|Rayón|Parachoques delantero|Reparar|
574.jpg|Rayón|Parachoques delantero|Reparar|
575.jpg|Rayón|Parachoques trasero|Reparar|
576.jpg|Abolladura|Parachoques delantero|Reparar|
577.jpg|Rayón|Parachoques trasero|Reparar|
577.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
578.jpg|Deformación|Maletero|Reparar|
579.jpg|Abolladura|Parachoques trasero|Reparar|
580.jpg|Rayón|Guardabarros trasero derecho|Reparar|
580.jpg|Rayón|Puerta trasera derecha|Reparar|
581.jpg|Abolladura|Parachoques delantero|Reparar|
582.jpg|Deformación|Puerta delantera izquierda|Reemplazar|
582.jpg|Abolladura|Marco de las puertas|Reparar|
583.jpg|Rotura|Faros izquierdo|Reemplazar|
583.jpg|Abolladura|Capó |Reparar|
583.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar|
584.jpg|Rayón|Capó |Reparar|
584.jpg|Desprendimiento|Guardabarros delantero izquierdo |Reemplazar|
584.jpg|Rotura|Parabrisas delantero|Reemplazar|
585.jpg|Desprendimiento|Parachoques delantero|Reparar|
586.jpg|Rotura|Faros derecho|Reemplazar|
586.jpg|Abolladura|Parachoques delantero|Reparar|
587.jpg|Rayón|Parachoques trasero|Reparar|
588.jpg|Abolladura|Maletero|Reparar|
589.jpg|Rotura|Parachoques delantero|Reparar|
589.jpg|Rotura|Rueda |Reparar|
589.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar|
590.jpg|Rayón|Parachoques delantero|Reparar|
591.jpg|Rayón|Parachoques delantero|Reparar|
592.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
592.jpg|Abolladura|Puerta delantera derecha|Reparar|
593.jpg|Rayón|Parachoques delantero|Reparar|
594.jpg|Deformación|Guardabarros delantero izquierdo |Reparar|
594.jpg|Desprendimiento|Parachoques delantero|Reparar|
595.jpg|Rotura|Ventana trasera izquierda|Reemplazar|
596.jpg|Abolladura|Parachoques trasero|Reparar|
596.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
597.jpg|Rayón|Puerta delantera izquierda|Reparar|
597.jpg|Desprendimiento|Moldura puerta delantera izquierda|Reemplazar|
598.jpg|Rotura|Parabrisas delantero|Reemplazar|
598.jpg|Abolladura|Techo |Reparar|
599.jpg|Rayón|Parachoques delantero|Reparar|
600.jpg|Rayón|Guardabarros trasero derecho|Reparar|
601.jpg|Rotura|Parabrisas delantero|Reemplazar|
602.jpg|Deformación|Parachoques delantero|Reemplazar|
602.jpg|Rotura|Faros derecho|Reemplazar|
602.jpg|Deformación|Guardabarros delantero derecho |Reparar|
602.jpg|Deformación|Capó |Reparar|
603.jpg|Rotura|Rueda |Reparar|
604.jpg|Abolladura|Parachoques delantero|Reparar|
605.jpg|Abolladura|Parachoques trasero|Reparar|
606.jpg|Rayón|Parachoques delantero|Reparar|
607.jpg|Rayón|Espejo lateral izquierdo|Reparar|
608.jpg|Rotura|Rueda |Reparar|
609.jpg|Rotura|Luz trasera derecho|Reemplazar|
610.jpg|Deformación|Parachoques delantero|Reemplazar|
611.jpg|Abolladura|Capó |Reparar|
612.jpg|Rayón|Guardabarros delantero derecho |Reparar|
613.jpg|Rotura|Parabrisas delantero|Reemplazar|
614.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
615.jpg|Rayón|Parachoques delantero|Reparar|
616.jpg|Rotura|Faros izquierdo|Reemplazar|
616.jpg|Rotura|Parachoques delantero|Reemplazar|
617.jpg|Rotura|Faros izquierdo|Reemplazar|
617.jpg|Rotura|Parachoques delantero|Reparar|
618.jpg|Rayón|Parachoques delantero|Reparar|
619.jpg|Abolladura|Parachoques trasero|Reparar|
619.jpg|Abolladura|Guardabarros trasero derecho|Reparar|
620.jpg|Abolladura|Parachoques delantero|Reparar|
620.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
620.jpg|Rotura|Rueda |Reparar|
621.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
622.jpg|Abolladura|Parachoques trasero|Reparar|
622.jpg|Rotura|Luz trasera derecho|Reemplazar|
623.jpg|Rotura|Parabrisas delantero|Reemplazar|
624.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar|
624.jpg|Abolladura|Parachoques trasero|Reparar|
625.jpg|Desprendimiento|Guardabarros delantero derecho |Reemplazar|
625.jpg|Rotura|Faros derecho|Reemplazar|
625.jpg|Abolladura|Parachoques delantero|Reparar|
625.jpg|Abolladura|Capó |Reparar|
626.jpg|Rayón|Parachoques delantero|Reparar|
627.jpg|Rotura|Parabrisas delantero|Reemplazar|
627.jpg|Desprendimiento|Espejo lateral derecho|Reemplazar|
628.jpg|Rayón|Parachoques trasero|Reparar|
629.jpg|Rotura|Faros derecho|Reemplazar|
629.jpg|Deformación|Guardabarros delantero derecho |Reparar|
629.jpg|Rayón|Parachoques delantero|Reparar|
630.jpg|Rotura|Parabrisas delantero|Reemplazar|
631.jpg|Rayón|Parachoques trasero|Reparar|
632.jpg|Rotura|Parachoques trasero|Reparar|
632.jpg|Rotura|Luz trasera izquierdo|Reemplazar|
632.jpg|Abolladura|Maletero|Reparar|
633.jpg|Rotura|Rueda |Reemplazar|
633.jpg|Desprendimiento|Parachoques delantero|Reemplazar|
634.jpg|Rotura|Rueda |Reparar|
635.jpg|Abolladura|Guardabarros delantero derecho |Reparar|
636.jpg|Rayón|Parachoques trasero|Reparar|
637.jpg|Rayón|Guardabarros trasero izquierdo|Reparar|
638.jpg|Desprendimiento|Parachoques trasero|Reemplazar|
638.jpg|Desprendimiento|Guardabarros trasero derecho|Reemplazar|
638.jpg|Rotura|Luz trasera derecho|Reemplazar|
638.jpg|Rotura|Rueda |Reparar|
638.jpg|Abolladura|Maletero|Reparar|
639.jpg|Rotura|Parachoques delantero|Reparar|
640.jpg|Rayón|Parachoques trasero|Reparar|
641.jpg|Rotura|Ventanilla trasera derecha      |Reemplazar|
642.jpg|Rayón|Puerta delantera derecha|Reparar|
